wavelength	B1	B2	B3	B4
472	0.841367842	0.019841608	0.001360498	0.002001858
473	0.865261839	0.020620744	0.001364082	0.001955682
474	0.889155836	0.021399879	0.001367666	0.001909507
475	0.913049833	0.022179014	0.00137125	0.001863331
476	0.921965138	0.022632197	0.001377169	0.001894928
477	0.930880443	0.023085379	0.001383088	0.001926525
478	0.939795749	0.023538562	0.001389008	0.001958122
479	0.948711054	0.023991744	0.001394927	0.001989719
480	0.957626359	0.024444927	0.001400846	0.002021316
481	0.96428184	0.024738547	0.001381484	0.001973472
482	0.970937322	0.025032167	0.001362123	0.001925628
483	0.977592803	0.025325787	0.001342761	0.001877785
484	0.984248285	0.025619407	0.0013234	0.001829941
485	0.990903766	0.025913027	0.001304038	0.001782097
486	0.992723013	0.025945295	0.001308947	0.001743013
487	0.99454226	0.025977563	0.001313856	0.001703928
488	0.996361506	0.02600983	0.001318765	0.001664843
489	0.998180753	0.026042098	0.001323674	0.001625758
490	1	0.026074366	0.001328583	0.001586673
491	0.995971714	0.025732471	0.001325985	0.001578837
492	0.991943427	0.025390575	0.001323388	0.001571001
493	0.987915141	0.02504868	0.00132079	0.001563165
494	0.983886854	0.024706784	0.001318193	0.001555329
495	0.979858568	0.024364889	0.001315595	0.001547494
496	0.876237468	0.021087956	0.001232704	0.001451511
497	0.772616368	0.017811024	0.001149813	0.001355528
498	0.668995268	0.014534091	0.001066922	0.001259546
499	0.565374168	0.011257159	0.000984031	0.001163563
500	0.461753068	0.007980226	0.00090114	0.00106758
501	0.371408115	0.006478669	0.000874857	0.000952588
502	0.281063162	0.004977112	0.000848574	0.000837596
503	0.190718209	0.003475554	0.000822292	0.000722604
504	0.100373256	0.001973997	0.000796009	0.000607612
505	0.010028303	0.00047244	0.000769726	0.000492619
506	0.008449209	0.000637996	0.000865801	0.000691141
507	0.006870114	0.000803552	0.000961876	0.000889663
508	0.00529102	0.000969109	0.001057952	0.001088185
509	0.003711925	0.001134665	0.001154027	0.001286707
510	0.002132831	0.001300221	0.001250102	0.001485229
511	0.002704779	0.008889389	0.002061324	0.001448919
512	0.003276727	0.016478557	0.002872547	0.001412608
513	0.003848675	0.024067726	0.003683769	0.001376298
514	0.004420623	0.031656894	0.004494992	0.001339987
515	0.004992571	0.039246062	0.005306214	0.001303677
516	0.004976004	0.17002782	0.006239314	0.001628622
517	0.004959437	0.300809578	0.007172413	0.001953567
518	0.00494287	0.431591336	0.008105513	0.002278512
519	0.004926303	0.562373094	0.009038612	0.002603457
520	0.004909736	0.693154852	0.009971712	0.002928403
521	0.005006962	0.708338957	0.00955571	0.002832283
522	0.005104187	0.723523062	0.009139709	0.002736163
523	0.005201413	0.738707168	0.008723707	0.002640044
524	0.005298638	0.753891273	0.008307706	0.002543924
525	0.005395864	0.769075378	0.007891704	0.002447804
526	0.005072773	0.779870578	0.007567995	0.002342822
527	0.004749682	0.790665779	0.007244286	0.00223784
528	0.004426592	0.801460979	0.006920578	0.002132857
529	0.004103501	0.81225618	0.006596869	0.002027875
530	0.00378041	0.82305138	0.00627316	0.001922893
531	0.003250754	0.827782166	0.005912266	0.001838602
532	0.002721098	0.832512952	0.005551372	0.001754311
533	0.002191442	0.837243738	0.005190479	0.00167002
534	0.001661786	0.841974524	0.004829585	0.001585729
535	0.00113213	0.84670531	0.004468691	0.001501439
536	0.001118083	0.853971622	0.004332859	0.001513457
537	0.001104036	0.861237933	0.004197026	0.001525476
538	0.00108999	0.868504245	0.004061194	0.001537495
539	0.001075943	0.875770556	0.003925361	0.001549513
540	0.001061896	0.883036868	0.003789529	0.001561532
541	0.001080347	0.886089629	0.003682853	0.001878109
542	0.001098798	0.88914239	0.003576177	0.002194685
543	0.001117248	0.89219515	0.003469502	0.002511261
544	0.001135699	0.895247911	0.003362826	0.002827838
545	0.00115415	0.898300672	0.00325615	0.003144414
546	0.001242117	0.898860527	0.003435069	0.003109486
547	0.001330084	0.899420383	0.003613989	0.003074557
548	0.001418052	0.899980238	0.003792908	0.003039628
549	0.001506019	0.900540094	0.003971828	0.003004699
550	0.001593986	0.901099949	0.004150747	0.00296977
551	0.001625778	0.903376806	0.004407549	0.003012535
552	0.001657569	0.905653664	0.004664351	0.003055299
553	0.001689361	0.907930521	0.004921153	0.003098063
554	0.001721152	0.910207379	0.005177955	0.003140827
555	0.001752944	0.912484236	0.005434757	0.003183591
556	0.002331341	0.912947107	0.005832502	0.003582984
557	0.002909738	0.913409977	0.006230247	0.003982376
558	0.003488136	0.913872848	0.006627993	0.004381769
559	0.004066533	0.914335718	0.007025738	0.004781162
560	0.00464493	0.914798589	0.007423483	0.005180554
561	0.005098874	0.915259145	0.007789975	0.005444792
562	0.005552818	0.9157197	0.008156467	0.005709031
563	0.006006762	0.916180256	0.00852296	0.005973269
564	0.006460706	0.916640811	0.008889452	0.006237507
565	0.00691465	0.917101367	0.009255944	0.006501745
566	0.006072424	0.91937497	0.009840451	0.006582251
567	0.005230198	0.921648573	0.010424958	0.006662757
568	0.004387971	0.923922176	0.011009466	0.006743264
569	0.003545745	0.926195779	0.011593973	0.00682377
570	0.002703519	0.928469382	0.01217848	0.006904276
571	0.002594744	0.931607632	0.012702097	0.006891654
572	0.002485968	0.934745882	0.013225714	0.006879033
573	0.002377193	0.937884131	0.013749332	0.006866411
574	0.002268417	0.941022381	0.014272949	0.006853789
575	0.002159642	0.944160631	0.014796566	0.006841168
576	0.002201678	0.951735389	0.015391382	0.00708515
577	0.002243714	0.959310148	0.015986198	0.007329133
578	0.002285749	0.966884906	0.016581014	0.007573116
579	0.002327785	0.974459665	0.01717583	0.007817098
580	0.002369821	0.982034423	0.017770646	0.008061081
581	0.002639006	0.985627538	0.018287089	0.008250938
582	0.002908191	0.989220654	0.018803532	0.008440795
583	0.003177376	0.992813769	0.019319974	0.008630652
584	0.003446561	0.996406885	0.019836417	0.008820509
585	0.003715746	1	0.02035286	0.009010366
586	0.004013558	0.998674083	0.020404097	0.008974488
587	0.00431137	0.997348166	0.020455334	0.00893861
588	0.004609181	0.996022249	0.02050657	0.008902732
589	0.004906993	0.994696332	0.020557807	0.008866854
590	0.005204805	0.993370415	0.020609044	0.008830976
591	0.004992389	0.98219945	0.019285316	0.008456012
592	0.004779973	0.971028486	0.017961588	0.008081047
593	0.004567557	0.959857521	0.01663786	0.007706083
594	0.004355141	0.948686557	0.015314132	0.007331119
595	0.004142725	0.937515592	0.013990404	0.006956155
596	0.003788362	0.795411932	0.011852792	0.006204905
597	0.003433999	0.653308273	0.00971518	0.005453654
598	0.003079636	0.511204613	0.007577569	0.004702404
599	0.002725273	0.369100954	0.005439957	0.003951153
600	0.00237091	0.226997294	0.003302345	0.003199903
601	0.002090528	0.185166327	0.007748818	0.003437199
602	0.001810146	0.14333536	0.012195291	0.003674496
603	0.001529763	0.101504392	0.016641763	0.003911792
604	0.001249381	0.059673425	0.021088236	0.004149089
605	0.000968999	0.017842458	0.025534709	0.004386386
606	0.001264878	0.015267013	0.153632266	0.012631084
607	0.001560757	0.012691568	0.281729822	0.020875782
608	0.001856636	0.010116123	0.409827379	0.02912048
609	0.002152515	0.007540678	0.537924935	0.037365179
610	0.002448394	0.004965233	0.666022492	0.045609877
611	0.002619476	0.004889707	0.70327729	0.046529289
612	0.002790558	0.004814181	0.740532088	0.047448702
613	0.002961639	0.004738656	0.777786886	0.048368114
614	0.003132721	0.00466313	0.815041684	0.049287527
615	0.003303803	0.004587604	0.852296482	0.05020694
616	0.003815307	0.005109441	0.853417067	0.050914032
617	0.004326811	0.005631277	0.854537652	0.051621125
618	0.004838315	0.006153114	0.855658238	0.052328217
619	0.005349819	0.00667495	0.856778823	0.05303531
620	0.005861323	0.007196787	0.857899408	0.053742403
621	0.005955779	0.006465286	0.852431202	0.052358803
622	0.006050235	0.005733786	0.846962996	0.050975204
623	0.006144692	0.005002285	0.84149479	0.049591604
624	0.006239148	0.004270785	0.836026584	0.048208005
625	0.006333604	0.003539284	0.830558378	0.046824405
626	0.006257712	0.003512507	0.83532777	0.046528133
627	0.00618182	0.00348573	0.840097161	0.04623186
628	0.006105929	0.003458952	0.844866553	0.045935588
629	0.006030037	0.003432175	0.849635944	0.045639315
630	0.005954145	0.003405398	0.854405336	0.045343042
631	0.005349802	0.003215472	0.854311929	0.044853928
632	0.004745458	0.003025545	0.854218521	0.044364814
633	0.004141115	0.002835619	0.854125114	0.043875699
634	0.003536771	0.002645692	0.854031706	0.043386585
635	0.002932428	0.002455766	0.853938299	0.042897471
636	0.00280672	0.002249588	0.852943201	0.042256001
637	0.002681012	0.00204341	0.851948104	0.041614532
638	0.002555304	0.001837232	0.850953006	0.040973063
639	0.002429596	0.001631054	0.849957909	0.040331594
640	0.002303888	0.001424876	0.848962811	0.039690124
641	0.002438466	0.001431637	0.850248911	0.038419158
642	0.002573045	0.001438398	0.851535012	0.037148192
643	0.002707623	0.001445158	0.852821112	0.035877226
