wavelength	B1	B2	B3	B4
350	0.00028883	0.000404963	0.002109195	0.000715101
351	0.000258506	0.000697396	0.001874126	0.000718018
352	0.000228182	0.00098983	0.001639057	0.000720935
353	0.000197859	0.001282263	0.001403989	0.000723852
354	0.000167535	0.001574697	0.00116892	0.000726769
355	0.000137211	0.00186713	0.000933851	0.000729686
356	0.000155501	0.001573705	0.001033697	0.000921669
357	0.00017379	0.00128028	0.001133543	0.001113652
358	0.00019208	0.000986856	0.001233388	0.001305636
359	0.000210369	0.000693431	0.001333234	0.001497619
360	0.000228659	0.000400006	0.00143308	0.001689602
361	0.000259249	0.000369624	0.001432859	0.001585078
362	0.00028984	0.000339242	0.001432637	0.001480555
363	0.00032043	0.000308861	0.001432416	0.001376031
364	0.000351021	0.000278479	0.001432194	0.001271508
365	0.000381611	0.000248097	0.001431973	0.001166984
366	0.00033911	0.000309469	0.001276732	0.001039912
367	0.000296608	0.000370841	0.001121492	0.000912839
368	0.000254107	0.000432212	0.000966251	0.000785767
369	0.000211605	0.000493584	0.000811011	0.000658694
370	0.000169104	0.000554956	0.00065577	0.000531622
371	0.000177189	0.000539217	0.000701895	0.000635857
372	0.000185273	0.000523478	0.000748019	0.000740093
373	0.000193358	0.000507739	0.000794144	0.000844328
374	0.000201442	0.000492	0.000840268	0.000948564
375	0.000209527	0.000476261	0.000886393	0.001052799
376	0.00025487	0.000422436	0.000876457	0.001074621
377	0.000300214	0.000368611	0.000866521	0.001096443
378	0.000345557	0.000314786	0.000856586	0.001118265
379	0.000390901	0.000260961	0.00084665	0.001140087
380	0.000436244	0.000207136	0.000836714	0.001161909
381	0.000416177	0.000279339	0.000802838	0.001076064
382	0.00039611	0.000351543	0.000768962	0.000990218
383	0.000376043	0.000423746	0.000735086	0.000904373
384	0.000355976	0.00049595	0.00070121	0.000818527
385	0.000335909	0.000568153	0.000667334	0.000732682
386	0.000331895	0.000544217	0.000634944	0.000692227
387	0.000327881	0.00052028	0.000602554	0.000651772
388	0.000323868	0.000496344	0.000570164	0.000611318
389	0.000319854	0.000472407	0.000537774	0.000570863
390	0.00031584	0.000448471	0.000505384	0.000530408
391	0.000307286	0.000424693	0.000494371	0.000486694
392	0.000298732	0.000400914	0.000483357	0.000442979
393	0.000290178	0.000377136	0.000472344	0.000399265
394	0.000281624	0.000353357	0.00046133	0.00035555
395	0.00027307	0.000329579	0.000450317	0.000311836
396	0.000326071	0.000297332	0.000493541	0.000406242
397	0.000379072	0.000265085	0.000536764	0.000500648
398	0.000432074	0.000232839	0.000579988	0.000595053
399	0.000485075	0.000200592	0.000623211	0.000689459
400	0.000538076	0.000168345	0.000666435	0.000783865
401	0.000517093	0.000196873	0.000655984	0.000714474
402	0.000496111	0.000225402	0.000645532	0.000645082
403	0.000475128	0.00025393	0.000635081	0.000575691
404	0.000454146	0.000282459	0.000624629	0.000506299
405	0.000433163	0.000310987	0.000614178	0.000436908
406	0.000435592	0.000331794	0.000586326	0.000511992
407	0.00043802	0.000352601	0.000558473	0.000587077
408	0.000440449	0.000373407	0.000530621	0.000662161
409	0.000442877	0.000394214	0.000502768	0.000737246
410	0.000445306	0.000415021	0.000474916	0.00081233
411	0.001174882	0.000436124	0.00047371	0.000733624
412	0.001904459	0.000457227	0.000472504	0.000654919
413	0.002634035	0.000478329	0.000471299	0.000576213
414	0.003363612	0.000499432	0.000470093	0.000497508
415	0.004093188	0.000520535	0.000468887	0.000418802
416	0.057035035	0.002183387	0.000511214	0.000673106
417	0.109976882	0.003846239	0.00055354	0.000927411
418	0.16291873	0.005509091	0.000595867	0.001181715
419	0.215860577	0.007171943	0.000638193	0.00143602
420	0.268802424	0.008834795	0.00068052	0.001690324
421	0.353553501	0.010020877	0.00076977	0.001863553
422	0.438304578	0.011206958	0.000859021	0.002036782
423	0.523055656	0.01239304	0.000948271	0.00221001
424	0.607806733	0.013579121	0.001037522	0.002383239
425	0.69255781	0.014765203	0.001126772	0.002556468
426	0.698364579	0.014381162	0.00107617	0.002417023
427	0.704171349	0.013997121	0.001025568	0.002277578
428	0.709978118	0.013613081	0.000974965	0.002138132
429	0.715784888	0.01322904	0.000924363	0.001998687
430	0.721591657	0.012844999	0.000873761	0.001859242
431	0.729734142	0.01236249	0.000796049	0.001836073
432	0.737876626	0.011879981	0.000718337	0.001812904
433	0.746019111	0.011397472	0.000640625	0.001789736
434	0.754161595	0.010914963	0.000562913	0.001766567
435	0.76230408	0.010432454	0.000485201	0.001743398
436	0.774112172	0.009949159	0.000459594	0.001666561
437	0.785920264	0.009465864	0.000433987	0.001589725
438	0.797728356	0.008982569	0.000408381	0.001512888
439	0.809536448	0.008499274	0.000382774	0.001436052
440	0.82134454	0.008015979	0.000357167	0.001359215
441	0.828538471	0.007722729	0.000378359	0.001422953
442	0.835732402	0.007429479	0.000399551	0.001486691
443	0.842926332	0.00713623	0.000420743	0.00155043
444	0.850120263	0.00684298	0.000441935	0.001614168
445	0.857314194	0.00654973	0.000463127	0.001677906
446	0.862563179	0.006427248	0.000464194	0.001682228
447	0.867812164	0.006304766	0.000465262	0.001686551
448	0.873061149	0.006182283	0.000466329	0.001690873
449	0.878310134	0.006059801	0.000467397	0.001695196
450	0.883559119	0.005937319	0.000468464	0.001699518
451	0.884822464	0.006180161	0.000522786	0.001859869
452	0.886085809	0.006423002	0.000577107	0.00202022
453	0.887349154	0.006665844	0.000631429	0.002180571
454	0.888612499	0.006908685	0.00068575	0.002340922
455	0.889875844	0.007151527	0.000740072	0.002501273
456	0.884842836	0.007419879	0.00082172	0.002558222
457	0.879809828	0.007688231	0.000903369	0.00261517
458	0.874776821	0.007956582	0.000985017	0.002672119
459	0.869743813	0.008224934	0.001066666	0.002729067
460	0.864710805	0.008493286	0.001148314	0.002786016
461	0.860684853	0.008906619	0.001224813	0.002878914
462	0.856658901	0.009319952	0.001301312	0.002971812
463	0.852632948	0.009733286	0.00137781	0.003064711
464	0.848606996	0.010146619	0.001454309	0.003157609
465	0.844581044	0.010559952	0.001530808	0.003250507
466	0.844800486	0.011096091	0.001581876	0.003267086
467	0.845019928	0.011632231	0.001632944	0.003283665
468	0.84523937	0.01216837	0.001684011	0.003300245
469	0.845458812	0.01270451	0.001735079	0.003316824
470	0.845678254	0.013240649	0.001786147	0.003333403
471	0.847725406	0.013767015	0.00179902	0.003354654
472	0.849772558	0.014293382	0.001811894	0.003375905
473	0.851819709	0.014819748	0.001824767	0.003397157
