350 	0.003063 
351 	0.005761 
352 	0.002655 
353 	0.002068 
354 	0.001407 
355 	0.003524 
356 	0.001581 
357 	0.003599 
358 	0.002175 
359 	0.004773 
360 	0.004435 
361 	0.002231 
362 	0.001677 
363 	0.001278 
364 	0.002475 
365 	0.002234 
366 	0.004644 
367 	0.002806 
368 	0.004245 
369 	0.001336 
370 	0.001117 
371 	0.002769 
372 	0.004547 
373 	0.008585 
374 	0.004488 
375 	0.002251 
376 	0.004976 
377 	0.004280 
378 	0.003109 
379 	0.007537 
380 	0.004125 
381 	0.002440 
382 	0.003066 
383 	0.003461 
384 	0.004728 
385 	0.003602 
386 	0.003209 
387 	0.005899 
388 	0.003132 
389 	0.004290 
390 	0.009061 
391 	0.003021 
392 	0.004586 
393 	0.006130 
394 	0.002360 
395 	0.000791 
396 	0.003947 
397 	0.003580 
398 	0.004466 
399 	0.004665 
400 	0.002793 
401 	0.002696 
402 	0.003748 
403 	0.002996 
404 	0.005082 
405 	0.002107 
406 	0.001168 
407 	0.004460 
408 	0.004951 
409 	0.005403 
410 	0.003400 
411 	0.003601 
412 	0.003333 
413 	0.004003 
414 	0.003470 
415 	0.005315 
416 	0.003475 
417 	0.003088 
418 	0.002636 
419 	0.003165 
420 	0.003844 
421 	0.006135 
422 	0.002825 
423 	0.004917 
424 	0.003792 
425 	0.003970 
426 	0.004126 
427 	0.005350 
428 	0.003787 
429 	0.003603 
430 	0.004140 
431 	0.004921 
432 	0.005107 
433 	0.005248 
434 	0.005230 
435 	0.004136 
436 	0.004323 
437 	0.003797 
438 	0.005150 
439 	0.003639 
440 	0.003111 
441 	0.002361 
442 	0.002662 
443 	0.001995 
444 	0.004594 
445 	0.001595 
446 	0.004245 
447 	0.003032 
448 	0.002566 
449 	0.003070 
450 	0.004463 
451 	0.004114 
452 	0.002755 
453 	0.004940 
454 	0.004606 
455 	0.004016 
456 	0.003323 
457 	0.005759 
458 	0.003165 
459 	0.004151 
460 	0.005299 
461 	0.004927 
462 	0.006167 
463 	0.004735 
464 	0.005764 
465 	0.006132 
466 	0.006242 
467 	0.010024 
468 	0.010094 
469 	0.009268 
470 	0.007659 
471 	0.006663 
472 	0.006024 
473 	0.006396 
474 	0.005667 
475 	0.006477 
476 	0.006460 
477 	0.006867 
478 	0.005413 
479 	0.005796 
480 	0.006279 
481 	0.003430 
482 	0.004316 
483 	0.004889 
484 	0.004585 
485 	0.005276 
486 	0.004134 
487 	0.007336 
488 	0.012597 
489 	0.009497 
490 	0.006012 
491 	0.004785 
492 	0.005218 
493 	0.005857 
494 	0.004594 
495 	0.004097 
496 	0.003249 
497 	0.003145 
498 	0.003668 
499 	0.004383 
500 	0.003634 
501 	0.003716 
502 	0.003941 
503 	0.003038 
504 	0.004374 
505 	0.003507 
506 	0.003937 
507 	0.003126 
508 	0.003175 
509 	0.003980 
510 	0.003244 
511 	0.003832 
512 	0.003809 
513 	0.003696 
514 	0.003727 
515 	0.003326 
516 	0.003906 
517 	0.003484 
518 	0.003655 
519 	0.003737 
520 	0.003210 
521 	0.004053 
522 	0.004065 
523 	0.003867 
524 	0.003740 
525 	0.003635 
526 	0.003123 
527 	0.003669 
528 	0.003274 
529 	0.004131 
530 	0.003677 
531 	0.003829 
532 	0.004774 
533 	0.004717 
534 	0.004016 
535 	0.004558 
536 	0.003959 
537 	0.004688 
538 	0.005625 
539 	0.006542 
540 	0.007373 
541 	0.008676 
542 	0.010737 
543 	0.012756 
544 	0.015755 
545 	0.021323 
546 	0.029441 
547 	0.042063 
548 	0.061421 
549 	0.093549 
550 	0.144370 
551 	0.231122 
552 	0.362914 
553 	0.582354 
554 	0.885981 
